date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:11	17068/17068	---M--	200	added ('OK')	application/font-woff2	etag:%22862ad86078a9bd40eec303558e1820661cbe23a9%22	https://use.typekit.net/af/cb3467/00000000000000007735a069/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/cb3467/00000000000000007735a069/30/le265	(from https://use.typekit.net/wwd6pco.css)
22:08:12	31144/31144	---M-Z	200	added ('OK')	font/opentype	etag:W/%22862ad86078a9bd40eec303558e1820661cbe23a9%22	https://use.typekit.net/af/cb3467/00000000000000007735a069/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/cb3467/00000000000000007735a069/30/ae265	(from https://use.typekit.net/wwd6pco.css)
22:08:12	20424/20424	---M--	200	added ('OK')	application/font-woff	etag:%22862ad86078a9bd40eec303558e1820661cbe23a9%22	https://use.typekit.net/af/cb3467/00000000000000007735a069/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/cb3467/00000000000000007735a069/30/de265	(from https://use.typekit.net/wwd6pco.css)
22:08:12	17040/17040	---M--	200	added ('OK')	application/font-woff2	etag:%227d08e90b937d4b1f9a5dc3fd5e6be0d6567f3c34%22	https://use.typekit.net/af/d4e28f/00000000000000007735a072/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/d4e28f/00000000000000007735a072/30/lfdcc	(from https://use.typekit.net/wwd6pco.css)
22:08:12	20412/20412	---M--	200	added ('OK')	application/font-woff	etag:%227d08e90b937d4b1f9a5dc3fd5e6be0d6567f3c34%22	https://use.typekit.net/af/d4e28f/00000000000000007735a072/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/d4e28f/00000000000000007735a072/30/dfdcc	(from https://use.typekit.net/wwd6pco.css)
22:08:13	30984/30984	---M-Z	200	added ('OK')	font/opentype	etag:W/%227d08e90b937d4b1f9a5dc3fd5e6be0d6567f3c34%22	https://use.typekit.net/af/d4e28f/00000000000000007735a072/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/d4e28f/00000000000000007735a072/30/afdcc	(from https://use.typekit.net/wwd6pco.css)
22:08:13	17756/17756	---M--	200	added ('OK')	application/font-woff2	etag:%22ec65454125f52ade60a7a7dba7db35136a0a5833%22	https://use.typekit.net/af/f18587/00000000000000007735a07a/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/f18587/00000000000000007735a07a/30/le196	(from https://use.typekit.net/wwd6pco.css)
22:08:14	21104/21104	---M--	200	added ('OK')	application/font-woff	etag:%22ec65454125f52ade60a7a7dba7db35136a0a5833%22	https://use.typekit.net/af/f18587/00000000000000007735a07a/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/f18587/00000000000000007735a07a/30/de196	(from https://use.typekit.net/wwd6pco.css)
22:08:14	32596/32596	---M-Z	200	added ('OK')	font/opentype	etag:W/%22ec65454125f52ade60a7a7dba7db35136a0a5833%22	https://use.typekit.net/af/f18587/00000000000000007735a07a/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/f18587/00000000000000007735a07a/30/ae196	(from https://use.typekit.net/wwd6pco.css)
22:08:14	43668/43668	---M--	200	added ('OK')	application/font-woff2	etag:%225badb0212b0828692dc5090fe2a57e66f5b12d91%22	https://use.typekit.net/af/4ae560/00000000000000007735a11a/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/4ae560/00000000000000007735a11a/30/le196	(from https://use.typekit.net/wwd6pco.css)
